State,Province,City,Date,Average_Value,Max_Value_of_the_Day,Hour_of_Max_Value ,Pollutant_AQI,Pollutant_Type
ST01,COT75,CT03,2015-02-05,5.081818,13.21,18,13,A
ST01,COT75,CT03,2015-03-29,2.241667,5.51,22,5,A
ST01,COT75,CT03,2015-04-26,4.554167,20.33,17,20,A
ST01,COT75,CT03,2015-05-16,2.3875,5.94,20,6,A
ST02,COT120,CT139,2006-05-31,30.304348,52.24,8,50,A
ST02,COT120,CT139,2006-07-22,27.307692,54.79,9,53,A
ST02,COT120,CT139,2006-09-12,28.190476,61.02,8,63,A
ST02,COT120,CT139,2007-01-22,29.315789,46.84,20,45,A
ST02,COT120,CT139,2007-03-14,25.173913,37.1,19,38,A
ST02,COT120,CT139,2010-05-23,7.495652,20.27,23,20,A
ST02,COT120,CT139,2010-06-08,12.895652,18.88,7,19,A
ST02,COT120,CT139,2011-08-21,7.782609,13.79,0,13,A
ST02,COT120,CT63,2006-02-28,17.47619,28.6,8,28,A
ST02,COT120,CT63,2006-05-21,11.521739,31.25,1,30,A
ST02,COT120,CT63,2006-11-19,31.565217,58.56,8,61,A
ST02,COT120,CT63,2007-02-11,14.565217,25.47,0,25,A
ST02,COT120,CT63,2007-06-06,8.521739,11.07,19,11,A
ST02,COT120,CT63,2009-01-08,38.069565,79.28,10,79,A
ST02,COT120,CT63,2010-03-23,24.017391,56.77,19,56,A
ST02,COT120,CT63,2010-04-02,19.56087,40.06,23,40,A
ST02,COT120,CT93,2006-05-23,10.521739,17.6,8,18,A
ST02,COT120,CT93,2006-08-25,5.173913,13.35,22,13,A
ST02,COT120,CT93,2006-11-05,21.695652,81.04,22,81,A
ST02,COT120,CT93,2007-03-20,5.2,13.73,7,14,A
ST03,COT78,CT22,2011-03-02,2.708333,5.63,18,6,A
ST03,COT78,CT22,2011-06-19,0.75,1.88,11,2,A
ST03,COT78,CT22,2011-08-03,4.818182,13,23,13,A
ST03,COT78,CT22,2014-05-20,8.041667,20.69,21,21,A
ST03,COT78,CT22,2014-10-08,5.708333,14.79,6,15,A
ST03,COT78,CT22,2014-10-14,3.583333,16.24,19,16,A
ST03,COT78,CT22,2015-06-23,3.790909,6.32,5,6,A
ST03,COT78,CT22,2015-11-21,8.883333,24.46,20,24,A
ST04,COT132,CT34,2011-02-11,18.130435,32.21,7,32,A
ST04,COT132,CT34,2011-02-13,7.434783,9.16,4,9,A
ST04,COT132,CT34,2011-05-08,13.26087,26.22,2,25,A
ST04,COT132,CT34,2011-05-18,25.043478,34.31,18,34,A
ST04,COT132,CT34,2011-11-01,26.5,38.92,21,40,A
ST04,COT132,CT34,2011-12-01,22.695652,31.93,7,33,A
ST04,COT132,CT34,2011-12-21,14.913043,25.33,9,25,A
ST04,COT132,CT34,2011-12-23,8.304348,12.84,22,13,A
ST04,COT132,CT34,2012-02-08,13.608696,27.46,21,26,A
ST04,COT132,CT34,2012-08-11,3.347826,4.72,20,5,A
ST04,COT132,CT34,2013-01-17,11,19.01,19,19,A
ST04,COT132,CT34,2013-03-22,21.73913,45.22,21,44,A
ST04,COT132,CT34,2014-04-12,18.652174,38.52,1,37,A
ST04,COT132,CT34,2014-08-03,12.652174,32.72,22,32,A
ST04,COT132,CT34,2014-09-12,7.695652,13.45,8,13,A
ST04,COT132,CT34,2014-10-14,9.4,15.49,7,15,A
ST04,COT132,CT34,2015-05-21,11.055556,29.25,13,30,A
ST04,COT132,CT34,2015-07-24,17.521739,36.21,22,35,A
ST04,COT132,CT34,2015-10-16,7.043478,13.29,5,13,A
ST04,COT132,CT34,2016-01-21,15.954545,26.96,7,26,A
ST04,COT52,CT70,2009-04-19,2.704348,7.13,0,7,A
ST04,COT52,CT70,2009-05-01,2.156522,3.81,3,4,A
ST04,COT52,CT70,2009-07-01,2.982609,9.65,8,9,A
ST04,COT52,CT70,2009-10-24,0.804348,4.25,20,4,A
ST04,COT74,CT03,2010-06-04,5.083333,16.64,5,16,A
ST04,COT91,CT121,2011-08-10,9.458333,22.17,5,23,A
ST04,COT91,CT121,2012-02-13,18.315789,24.51,7,25,A
ST04,COT91,CT121,2013-06-01,4.625,8.36,9,8,A
ST04,COT91,CT121,2014-01-14,11.708333,22.76,8,23,A
ST04,COT91,CT121,2014-04-06,7.041667,15.08,0,15,A
ST04,COT91,CT121,2014-05-04,5.458333,12.48,0,12,A
ST04,COT91,CT121,2014-05-23,5.73913,14.48,23,14,A
ST04,COT91,CT121,2014-07-21,10.833333,21.48,21,22,A
ST04,COT91,CT121,2014-08-21,12.791667,17.94,11,18,A
ST04,COT91,CT121,2014-09-20,10.5,27.58,0,27,A
ST04,COT91,CT121,2014-12-31,11.588235,17.81,5,18,A
ST04,COT91,CT121,2015-03-24,12.25,20.04,17,21,A
ST04,COT91,CT121,2016-02-14,9.208333,26.52,0,26,A
ST04,COT91,CT121,2016-03-11,7.708333,14.41,20,14,A
ST05,COT129,CT53,2007-03-20,10.125,21,7,21,A
ST05,COT129,CT53,2007-06-13,13.875,30.79,20,31,A
ST05,COT129,CT53,2007-08-07,6.416667,15.7,6,15,A
ST05,COT129,CT53,2008-02-01,8.708333,18.29,18,18,A
ST05,COT129,CT53,2008-02-03,16.041667,32.48,1,32,A
ST05,COT129,CT53,2008-02-04,5.75,12.27,13,12,A
ST05,COT129,CT53,2008-04-24,0.125,1.97,0,2,A
ST05,COT129,CT53,2008-07-06,5.791667,15.55,3,15,A
ST05,COT129,CT53,2008-09-24,12.041667,20.88,18,21,A
ST05,COT129,CT53,2008-12-01,5.409091,19.55,23,19,A
ST05,COT129,CT53,2009-06-11,8,17.81,21,18,A
ST05,COT129,CT53,2009-07-14,9,22.41,5,22,A
ST05,COT129,CT53,2009-10-12,12.416667,16.1,18,16,A
ST05,COT129,CT53,2010-03-10,9.25,19.26,2,20,A
ST05,COT129,CT53,2010-03-23,19.208333,42.89,22,42,A
ST05,COT129,CT53,2010-04-28,8.208333,19.92,8,20,A
ST05,COT129,CT53,2010-05-01,6.75,15.22,8,15,A
ST05,COT129,CT53,2010-08-20,5.375,10.31,6,10,A
ST05,COT129,CT53,2011-04-21,8.370833,12.39,2,11,A
ST05,COT129,CT53,2011-07-11,7.6125,15.66,5,15,A
ST05,COT129,CT53,2011-10-25,11.925,25.12,7,24,A
ST05,COT129,CT53,2011-11-05,8.9375,13.84,21,13,A
ST05,COT129,CT53,2012-01-18,13.908333,32.98,23,32,A
ST05,COT129,CT53,2012-09-17,10.963636,25.57,6,25,A
ST05,COT129,CT53,2012-11-15,19.845833,40.59,18,39,A
ST05,COT129,CT53,2013-01-17,12.491667,33.37,23,32,A
ST05,COT129,CT53,2013-02-12,19.791667,28.54,4,28,A
ST05,COT129,CT53,2013-03-18,7.604348,27.18,23,26,A
ST05,COT129,CT53,2013-04-23,10.8625,39.65,3,40,A
ST05,COT129,CT53,2013-05-16,8.5,14.14,9,13,A
ST05,COT129,CT53,2013-07-18,7.7875,16.36,1,15,A
ST05,COT129,CT53,2014-04-04,3.129167,13.87,20,13,A
ST05,COT129,CT53,2014-04-16,7.75,18.05,10,18,A
ST05,COT129,CT53,2014-05-08,5.816667,9.78,0,9,A
ST05,COT129,CT53,2014-08-19,7.834783,17.16,5,17,A
ST05,COT129,CT53,2014-09-26,11.420833,22.27,23,22,A
ST05,COT129,CT53,2014-11-28,8.020833,21.2,2,20,A
ST05,COT129,CT53,2015-04-08,3.629167,6.17,19,6,A
ST05,COT129,CT53,2016-03-30,8.445833,15.85,6,15,A
ST06,COT27,CT42,2007-06-21,7,12.86,13,13,A
ST06,COT27,CT42,2007-07-02,7.541667,13.37,5,13,A
ST06,COT27,CT42,2008-01-25,15.333333,27.23,16,26,A
ST06,COT27,CT42,2008-03-01,11.75,32.15,19,32,A
ST06,COT27,CT42,2008-05-19,11.291667,17.71,6,17,A
ST06,COT27,CT42,2008-07-14,8.333333,11.78,9,11,A
ST06,COT27,CT42,2008-10-01,25.75,36.2,16,36,A
ST06,COT27,CT42,2008-12-24,13.916667,27.63,2,26,A
ST06,COT27,CT42,2009-03-05,9.916667,18.59,8,19,A
ST06,COT27,CT42,2009-06-09,6.791667,14.57,0,14,A
ST06,COT27,CT42,2010-01-30,10.217391,16.34,18,16,A
ST06,COT27,CT42,2010-02-14,12.708333,28.91,19,28,A
ST06,COT27,CT42,2010-04-26,10.666667,24.88,7,25,A
ST06,COT27,CT42,2010-05-28,8.375,15.19,3,15,A
ST06,COT27,CT42,2010-07-08,14.333333,22.01,3,22,A
ST06,COT27,CT42,2010-11-26,12.833333,22.31,21,22,A
ST06,COT27,CT42,2011-01-05,21.043478,24.52,0,25,A
ST06,COT27,CT42,2011-05-17,11.441667,18.45,4,18,A
ST06,COT27,CT42,2011-07-14,6.270833,12.67,21,12,A
ST06,COT27,CT42,2011-10-09,10.15,17.32,20,17,A
ST06,COT27,CT42,2011-11-06,13.070833,22.42,18,22,A
ST06,COT27,CT42,2012-02-05,4.433333,6.57,19,7,A
ST06,COT27,CT42,2012-02-08,13.3125,22.45,8,22,A
ST06,COT27,CT42,2012-02-10,12.591667,20.85,20,21,A
ST06,COT27,CT42,2012-06-18,4.504167,7.43,17,8,A
ST06,COT27,CT42,2012-11-11,12.3375,16.93,15,17,A
ST06,COT27,CT42,2012-11-27,4.741667,7.22,16,7,A
ST06,COT27,CT42,2013-02-07,10.154167,30.46,20,30,A
ST06,COT27,CT42,2013-06-11,3.904167,6.44,7,7,A
ST06,COT27,CT42,2013-08-20,6.008333,12.79,5,12,A
ST06,COT27,CT42,2013-11-21,15.429167,22.73,0,22,A
ST06,COT27,CT42,2013-12-03,14.554167,26.02,18,26,A
ST06,COT27,CT42,2014-01-13,7.886364,20.29,23,20,A
ST06,COT27,CT42,2014-01-26,6.420833,10.56,7,9,A
ST06,COT27,CT42,2014-05-20,5.220833,12.08,5,11,A
ST06,COT27,CT42,2014-08-25,8.095833,14.86,6,14,A
ST06,COT27,CT42,2015-04-22,6.5125,20.42,6,19,A
ST06,COT27,CT42,2015-07-25,5.8,14.92,21,15,A
ST06,COT27,CT42,2015-08-04,3.829167,6.35,6,6,A
ST06,COT27,CT42,2015-12-29,14.845833,21.99,0,21,A
ST07,COT49,CT55,2000-05-05,27.958333,51.52,21,50,A
ST07,COT49,CT55,2000-06-03,19.333333,43.97,21,42,A
ST07,COT49,CT55,2000-06-05,20.347826,29.77,4,30,A
ST07,COT49,CT55,2000-06-17,18.791667,33.98,21,33,A
ST07,COT49,CT55,2000-06-21,16.958333,36.83,0,37,A
ST07,COT49,CT55,2000-09-30,23.333333,42.86,18,42,A
ST07,COT49,CT55,2000-11-03,47.416667,68.73,8,69,A
ST07,COT49,CT55,2000-11-07,51.761905,78.75,7,79,A
ST07,COT49,CT55,2001-03-15,39.458333,56.58,8,56,A
ST07,COT49,CT55,2001-04-04,28.863636,51.34,20,49,A
ST07,COT49,CT55,2001-05-05,27.333333,49.95,5,49,A
ST07,COT49,CT55,2001-08-24,24.708333,43.42,21,42,A
ST07,COT49,CT55,2002-04-23,17.583333,26.11,6,26,A
ST07,COT49,CT55,2004-02-19,35.636364,55.02,22,57,A
ST07,COT49,CT55,2004-02-24,29.791667,38.74,7,39,A
ST07,COT49,CT55,2004-05-19,16.416667,24,0,25,A
ST07,COT49,CT55,2004-10-08,32.958333,75.64,9,80,A
ST07,COT49,CT55,2005-02-18,14.695652,20.67,21,20,A
ST07,COT49,CT55,2005-03-01,22.916667,40.3,5,39,A
ST07,COT49,CT55,2005-03-11,26.5,35.19,0,34,A
ST07,COT49,CT55,2005-10-23,9.916667,27.19,18,26,A
ST07,COT49,CT55,2005-10-28,21.791667,32.27,7,31,A
ST07,COT49,CT55,2006-04-08,12.041667,20.43,7,21,A
ST07,COT49,CT55,2006-04-24,18.666667,34.54,21,33,A
ST07,COT49,CT55,2006-11-11,15.5,32.84,2,33,A
ST07,COT49,CT55,2007-01-08,11,15.65,3,16,A
ST07,COT49,CT55,2007-03-13,17.583333,33.51,6,32,A
ST07,COT49,CT55,2007-05-29,18.75,31.96,23,33,A
ST07,COT49,CT55,2008-01-10,12.125,29.4,23,30,A
ST07,COT49,CT55,2008-04-10,5.291667,13.28,0,13,A
ST07,COT49,CT55,2008-08-15,28.666667,49.61,21,49,A
ST07,COT49,CT55,2008-10-24,21.958333,34.96,8,36,A
ST07,COT49,CT55,2008-11-19,15.125,26.62,7,27,A
ST07,COT49,CT55,2009-01-12,24.25,34.97,18,36,A
ST07,COT49,CT55,2009-04-20,14.25,18.21,19,19,A
ST07,COT49,CT55,2009-05-02,14.958333,28.49,18,28,A
ST07,COT49,CT55,2009-05-06,17.916667,26.57,6,26,A
ST07,COT49,CT55,2009-11-30,18.583333,32.12,10,31,A
ST07,COT49,CT55,2010-01-26,12.416667,27.3,7,26,A
ST07,COT49,CT55,2010-03-14,12.416667,15.56,13,15,A
ST07,COT49,CT55,2010-08-16,11.083333,18.16,4,18,A
ST07,COT49,CT55,2010-09-14,26.478261,42.36,19,42,A
ST07,COT49,CT55,2010-11-14,27.333333,51.43,9,50,A
ST07,COT49,CT55,2011-03-20,9.541667,16.71,5,16,A
ST07,COT49,CT55,2011-06-03,15.333333,40.31,23,39,A
ST07,COT49,CT55,2011-06-26,8.5,18.86,22,19,A
ST07,COT49,CT55,2011-10-21,10.166667,16.76,7,16,A
ST07,COT49,CT55,2011-11-15,18.227273,30.02,18,30,A
ST07,COT49,CT55,2011-12-23,12.958333,22.72,23,22,A
ST07,COT49,CT55,2012-01-01,13.754167,24.18,4,24,A
ST07,COT49,CT55,2012-02-26,9.166667,24.82,20,25,A
ST07,COT49,CT55,2012-03-06,13.622727,21.44,6,21,A
ST07,COT49,CT55,2012-07-27,13.863636,25.33,7,25,A
ST07,COT49,CT55,2013-06-18,11.0375,17,22,17,A
ST07,COT49,CT55,2013-07-03,4.925,8.98,8,8,A
ST07,COT49,CT55,2013-07-09,11.85,23.89,10,23,A
ST07,COT49,CT55,2013-08-04,1.266667,5.55,20,5,A
ST07,COT49,CT55,2013-10-13,5.666667,16.9,19,17,A
ST07,COT49,CT55,2013-11-09,12.791667,25.85,0,25,A
ST07,COT49,CT55,2013-11-12,10.043478,21.94,5,23,A
ST07,COT49,CT55,2013-12-23,6,12.34,12,12,A
ST07,COT49,CT55,2014-01-03,15.429167,23.59,23,23,A
ST07,COT49,CT55,2014-06-29,4.870833,8.15,8,8,A
ST07,COT49,CT55,2014-09-04,12.1375,26.84,7,25,A
ST07,COT49,CT55,2014-11-14,8.429167,14.64,23,14,A
ST07,COT49,CT55,2015-03-18,7.258333,26.78,23,25,A
ST08,COT108,CT80,2007-06-23,1.416667,3.86,1,4,A
ST08,COT108,CT80,2008-02-16,9.041667,14.8,1,14,A
ST08,COT108,CT80,2008-03-10,3.458333,7.48,23,8,A
ST08,COT108,CT80,2008-05-26,0,0,0,0,A
ST08,COT108,CT80,2008-08-24,0.954545,11.77,23,11,A
ST08,COT108,CT80,2008-09-22,1.958333,8.22,7,8,A
ST08,COT108,CT80,2008-09-25,1.708333,4.65,7,5,A
ST08,COT108,CT80,2008-11-17,8.75,25.15,21,25,A
ST08,COT108,CT80,2009-04-18,0,0,0,0,A
ST08,COT108,CT80,2010-03-12,3.2875,14.96,22,15,A
ST08,COT108,CT80,2010-12-06,11.086957,20.11,22,20,A
ST08,COT108,CT80,2011-01-20,5.125,6.81,23,7,A
ST08,COT108,CT80,2011-02-11,10.254167,21.34,5,22,A
ST08,COT108,CT80,2011-04-07,1.941667,7.34,10,7,A
ST08,COT108,CT80,2011-05-06,5.354167,6.73,3,6,A
ST08,COT108,CT80,2011-07-23,0.158333,1.13,5,1,A
ST08,COT108,CT80,2012-02-11,3.666667,8.4,7,8,A
ST08,COT108,CT80,2012-04-18,3.357895,6.59,6,7,A
ST08,COT108,CT80,2012-05-04,1.704167,3.7,20,3,A
ST08,COT108,CT80,2012-05-14,5.558333,19.91,21,19,A
ST08,COT108,CT80,2012-10-14,6.318182,23.14,21,23,A
ST08,COT108,CT80,2012-10-29,7.695833,19.17,4,18,A
ST08,COT108,CT80,2012-12-03,1.740909,10.11,21,10,A
ST08,COT108,CT80,2013-01-11,4.125,7.46,12,7,A
ST08,COT108,CT80,2013-05-02,0.620833,1.59,9,1,A
ST08,COT108,CT80,2013-10-05,2.695833,3.55,16,3,A
ST08,COT108,CT80,2013-11-13,3.15,11.34,7,11,A
ST08,COT108,CT80,2013-11-30,3.583333,5.97,23,6,A
ST08,COT108,CT80,2013-12-18,4.83,14.95,5,14,A
ST08,COT108,CT80,2014-01-05,-1.345455,0.65,3,0,A
ST08,COT108,CT80,2014-08-13,1.25,3,0,3,A
ST08,COT108,CT80,2014-09-06,2.325,6.27,8,6,A
ST08,COT108,CT80,2015-02-28,2.008333,3.66,22,3,A
ST08,COT108,CT80,2015-03-13,3.7875,16.01,23,15,A
ST08,COT108,CT80,2015-03-31,0.791667,1.68,7,1,A
ST08,COT108,CT80,2015-05-10,-0.635,0.66,22,0,A
ST08,COT108,CT80,2015-08-13,2.4875,3.86,7,3,A
ST08,COT108,CT80,2016-03-26,2.379167,3.74,0,4,A
ST08,COT108,CT80,2016-04-12,1.5,3.62,23,3,A
ST08,COT108,CT80,2016-04-17,1.445455,2.77,20,3,A
ST08,COT11,CT09,2000-05-12,9,15.61,16,15,A
ST08,COT11,CT09,2000-08-01,16.875,42.12,22,42,A
ST08,COT11,CT09,2000-09-14,28.416667,67.3,20,67,A
ST08,COT11,CT09,2001-07-04,10.190476,23.79,1,24,A
ST08,COT11,CT09,2001-08-22,9.75,26.43,20,26,A
ST08,COT11,CT09,2001-09-10,25.666667,29.95,20,30,A
ST08,COT11,CT09,2001-10-01,42.875,66.89,19,71,A
ST08,COT11,CT09,2001-10-29,33.666667,54.23,18,53,A
ST08,COT11,CT09,2001-12-22,12.625,24.44,23,25,A
ST08,COT11,CT09,2002-01-20,20.5,38.42,0,37,A
ST08,COT11,CT09,2002-07-08,26.541667,45.02,1,45,A
ST08,COT11,CT09,2002-07-18,16.125,26.18,21,25,A
ST08,COT11,CT09,2002-07-23,18.227273,37.55,22,36,A
ST08,COT11,CT09,2002-11-03,9.590909,13.99,0,14,A
ST08,COT11,CT09,2003-02-28,20.833333,33.76,22,34,A
ST08,COT11,CT09,2003-07-04,11.208333,21.1,4,21,A
ST08,COT11,CT09,2003-07-23,8.375,15.25,6,15,A
ST08,COT11,CT09,2003-12-05,16.458333,36.74,0,38,A
ST08,COT11,CT09,2004-01-05,8.791667,13.69,19,13,A
ST08,COT11,CT09,2004-02-07,20.041667,34.59,22,33,A
ST08,COT11,CT09,2004-04-26,20.416667,54.98,20,53,A
ST08,COT11,CT09,2004-06-11,7.375,12.58,20,12,A
ST08,COT11,CT09,2004-08-10,31.541667,60.5,21,63,A
ST08,COT11,CT09,2005-03-13,6.727273,14.75,7,15,A
ST08,COT11,CT09,2005-09-25,12.727273,36.38,19,37,A
ST08,COT11,CT09,2005-09-28,12.916667,26.74,5,27,A
ST08,COT11,CT09,2005-09-29,14.833333,35.71,20,36,A
ST08,COT11,CT09,2005-12-24,8,23.33,1,24,A
ST08,COT11,CT09,2006-03-28,16.045455,29.63,0,29,A
ST08,COT11,CT09,2006-07-09,6.818182,21.66,0,22,A
ST08,COT11,CT09,2006-08-16,13.541667,28.62,7,28,A
ST08,COT11,CT09,2006-08-28,22.666667,37.2,22,37,A
ST08,COT11,CT09,2006-09-07,30.5,57.77,21,61,A
ST08,COT11,CT09,2007-03-19,9.5,17.58,21,18,A
ST08,COT11,CT09,2007-05-22,9.666667,19.42,5,20,A
ST08,COT11,CT09,2007-10-20,18.041667,41.21,0,40,A
ST08,COT11,CT09,2008-01-16,16.625,37.06,19,37,A
ST08,COT11,CT09,2008-02-15,14.833333,26.6,6,25,A
ST08,COT11,CT09,2008-05-10,8.416667,16.75,7,17,A
ST08,COT11,CT09,2008-12-24,14.495833,30.47,19,29,A
ST08,COT11,CT09,2009-01-01,11.525,23.11,19,24,A
ST08,COT11,CT09,2009-02-04,17.479167,29.1,21,29,A
ST08,COT11,CT09,2009-09-16,7.608333,12.47,9,12,A
ST08,COT11,CT09,2009-10-07,7.083333,7.9,7,8,A
ST08,COT11,CT09,2010-01-04,14.620833,32.48,23,32,A
ST08,COT11,CT09,2010-03-06,10.05,19.44,21,19,A
ST08,COT11,CT09,2010-03-10,16.466667,44.01,21,43,A
ST08,COT11,CT09,2010-05-07,6.073684,9.88,7,9,A
ST08,COT11,CT09,2010-10-26,18.729167,42.26,19,43,A
ST08,COT11,CT09,2010-11-02,10.395833,16.46,7,16,A
ST08,COT11,CT09,2010-11-06,22.083333,34.37,20,35,A
ST08,COT11,CT09,2011-01-21,24.291667,34.97,19,35,A
ST08,COT11,CT09,2011-02-03,12.691667,25.53,14,25,A
ST08,COT11,CT09,2011-05-18,7.966667,19.21,5,19,A
ST08,COT11,CT09,2011-10-02,15.565,43.98,0,42,A
ST08,COT11,CT09,2012-02-04,4.345833,7.07,7,7,A
ST08,COT11,CT09,2012-03-23,22.0125,39.21,20,40,A
ST08,COT11,CT09,2012-03-24,25.758333,49.18,0,48,A
ST08,COT11,CT09,2012-03-31,8.029167,18.54,21,18,A
ST08,COT11,CT09,2012-08-28,7.404167,16.13,6,15,A
ST08,COT11,CT09,2013-02-07,6.941667,12.39,8,12,A
ST08,COT11,CT09,2013-02-19,7.333333,21.13,7,21,A
ST08,COT11,CT09,2013-04-01,16.2375,37.11,8,38,A
ST08,COT11,CT09,2013-05-27,3.083333,5.32,20,5,A
ST08,COT11,CT09,2013-07-04,5.266667,9.85,5,9,A
ST08,COT11,CT09,2013-10-17,20.75,37.56,20,39,A
ST08,COT11,CT09,2014-02-05,5.8,7.35,17,7,A
ST08,COT11,CT09,2014-08-01,5.591667,10.48,7,10,A
ST08,COT11,CT09,2015-06-26,6.895833,18.98,22,18,A
ST08,COT11,CT09,2015-08-21,7.775,13.7,6,13,A
ST08,COT11,CT09,2015-11-22,18.44,37.54,19,36,A
ST08,COT45,CT102,2011-03-20,3.425,8.4,20,8,A
ST08,COT45,CT102,2011-03-22,1.720833,4,6,4,A
ST08,COT45,CT102,2011-11-07,6.654167,9.4,1,8,A
ST08,COT45,CT102,2011-12-23,7.8375,10.44,7,9,A
ST08,COT45,CT102,2012-06-18,6.1625,16.98,7,16,A
ST08,COT45,CT102,2012-07-13,8.1,13.08,12,13,A
ST08,COT45,CT102,2012-08-02,2.195833,4.77,5,5,A
ST08,COT45,CT102,2012-08-16,2.425,6.57,6,7,A
ST08,COT45,CT102,2012-12-09,3.4,9.15,7,8,A
ST08,COT45,CT102,2013-01-05,10.6125,15.18,7,15,A
ST08,COT45,CT102,2013-02-21,8.1125,24.79,20,24,A
ST08,COT45,CT102,2013-04-27,3.616667,9.31,15,9,A
ST08,COT45,CT102,2013-07-01,7.8875,18.67,7,19,A
ST08,COT45,CT102,2013-09-12,7.841667,18.17,6,18,A
ST08,COT45,CT102,2014-04-28,4.783333,12.43,11,12,A
ST08,COT45,CT102,2014-09-08,8.9125,17.3,8,17,A
ST08,COT45,CT102,2014-10-18,7.895833,20.99,8,20,A
ST08,COT45,CT102,2015-07-01,8.316667,14.55,14,14,A
ST08,COT45,CT102,2016-01-10,6.377273,23.69,22,24,A
ST08,COT45,CT102,2016-03-01,7.0875,27.88,20,26,A
ST08,COT45,CT113,2000-11-16,23.25,38.06,10,37,A
ST08,COT45,CT113,2001-02-03,34.666667,54.84,23,54,A
ST08,COT45,CT113,2001-05-27,10.095238,18.84,5,19,A
ST08,COT45,CT113,2001-06-09,3.583333,10.99,3,11,A
ST08,COT45,CT113,2001-07-01,6.714286,26.08,12,26,A
ST08,COT45,CT113,2001-11-15,12.708333,22.51,7,23,A
ST08,COT45,CT113,2003-06-16,24.391304,41.55,16,42,A
ST08,COT45,CT113,2003-09-06,10.75,28.67,22,28,A
ST08,COT45,CT113,2003-10-27,24.304348,41.98,16,41,A
ST08,COT45,CT113,2003-12-22,11.882353,28.24,7,27,A
ST08,COT45,CT113,2004-02-13,9.125,22.71,12,22,A
ST08,COT45,CT113,2005-09-17,2.416667,5.71,5,6,A
ST08,COT45,CT113,2005-12-08,11.083333,15.7,17,15,A
ST08,COT45,CT113,2005-12-20,16.636364,22.33,4,23,A
ST08,COT45,CT113,2006-09-19,20.333333,45.46,19,45,A
ST08,COT45,CT113,2006-09-30,8.75,14.25,6,14,A
ST08,COT45,CT113,2006-11-18,26.125,43.69,21,45,A
ST08,COT45,CT113,2006-11-27,13.333333,26.4,18,26,A
ST08,COT45,CT113,2006-11-27,21.083333,38.42,0,38,A
ST08,COT45,CT113,2006-11-28,15.75,26.59,7,25,A
ST08,COT45,CT113,2006-12-17,10,20.35,19,21,A
ST08,COT45,CT113,2007-01-06,9.958333,18.7,4,18,A
ST08,COT45,CT113,2007-01-08,32.25,48.49,19,50,A
ST08,COT45,CT113,2007-01-20,14.625,26.37,22,25,A
ST08,COT45,CT113,2007-06-23,18.791667,36.08,6,37,A
ST08,COT45,CT113,2007-07-07,11.333333,23.14,20,23,A
ST08,COT45,CT113,2007-09-03,17.458333,29.6,18,29,A
ST08,COT45,CT113,2007-09-23,12.181818,20.13,22,21,A
ST08,COT45,CT113,2007-12-07,13.083333,29.25,7,28,A
ST08,COT45,CT113,2008-02-01,26.583333,39.16,13,40,A
ST08,COT45,CT113,2008-02-07,36.208333,45.04,6,46,A
ST08,COT45,CT113,2008-05-03,10.75,26.16,7,26,A
ST08,COT45,CT113,2008-07-15,13.291667,20.22,16,21,A
ST08,COT45,CT113,2008-07-21,8.045455,14.73,6,15,A
ST08,COT45,CT113,2008-10-06,6.916667,26.25,6,25,A
ST08,COT45,CT113,2008-10-14,6.291667,12.59,5,12,A
ST08,COT45,CT113,2008-12-08,13.333333,29.98,7,29,A
